property_name,property_id,breadcrumbs,price,image_url,description,seller_name,location,property_type,bathrooms,bedrooms
3bhk furnished,1782762754,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in YMCA Cross Road,3bhk furnished","{'amount': '26', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/7hjavpfaewo42-IN/image;s=850x0,Kozhikode town  3bhk furnished flat,,"YMCA Cross Road, Kozhikode, Kerala",Apartments,,
2 BHK FULLY FURNISHED FLAT FOR RENT AT KARAPARAMB,1784440765,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Karaparamba,2 BHK FULLY FURNISHED FLAT FOR RENT AT KARAPARAMB","{'amount': '40', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/rem8svmzcwnt1-IN/image;s=850x0,Branded flat for rent & sale available in calicut ,,"Karaparamba, Kozhikode, Kerala",Apartments,,
3 BHK FULLY FURNISHED APARTMENT FOR RENT NEAR POTTAMMAL,1784013292,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Pottammal,3 BHK FULLY FURNISHED APARTMENT FOR RENT NEAR POTTAMMAL","{'amount': '42', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/i1ygdziebwgx2-IN/image;s=850x0,Branded flat for sale or rent available in calicut.,,"Pottammal, Kozhikode, Kerala",Apartments,,
₹12000 2bhk house 2nd floor for rent,1784448849,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Thadambattuthazham,₹12000 2bhk house 2nd floor for rent","{'amount': '12', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/tw4uqwgm58ji1-IN/image;s=850x0,House for rent ₹ 12000 2bhk 2 bathroom 1 small kitchen 1 living area,,"Thadambattuthazham, Kozhikode, Kerala",Apartments,,
,https://www.olx.in/nashik_g4059002,,"{'amount': '7', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/uqktwn14ceud1-IN/image;s=272x0,,,,Apartments,,
ചെറിയ ഫാമിലിക്ക് താമസിക്കാൻ,1784438914,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Kovoor,ചെറിയ ഫാമിലിക്ക് താമസിക്കാൻ","{'amount': '9', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/cotxyognsb4s3-IN/image;s=850x0,"അഡ്വാൻസ് 35,000 വാടക 9500",,"Kovoor, Kozhikode, Kerala",Apartments,,
Thondayad 3Bhk Apartment semi furnished,1784442373,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Thondayad,Thondayad 3Bhk Apartment semi furnished","{'amount': '22', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/8u821zjkbnoa-IN/image;s=850x0,Hey there!,,"Thondayad, Kozhikode, Kerala",Apartments,,
,https://www.olx.in/hyderabad_g4058526,,"{'amount': '4', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/g43oq6n094l02-IN/image;s=272x0,,,,Apartments,,
Bal Mandir Karuvissery,1781096640,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Karuvasseri,Bal Mandir Karuvissery","{'amount': '18', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/ogdd8eeki6ot-IN/image;s=850x0,"Newly constructed  two floored house with 2 BHK on each floor. Suitable for families.Modular kitchen, Car parking and road available.150 metres to Krishnan Nair Road. Residential area.Ground floor available for rent.",,"Karuvasseri, Kozhikode, Kerala",Apartments,,
House for rent,1784032015,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in P M Kutty Road,House for rent","{'amount': '12', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/573xws7v80e43-IN/image;s=850x0,Single house at nadakkave near bilathikulam housing colony. Walkable distance from vandipetta bus stop. Well water .,,"P M Kutty Road, Kozhikode, Kerala",Apartments,,
Individual House For Rent,1784454569,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Govindapuram,Individual House For Rent","{'amount': '18', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/x941uowmqr3c3-IN/image;s=850x0,Individual house for Rent-:4Bhk ,,"Govindapuram, Kozhikode, Kerala",Apartments,,
3 BHK FURNISHED FLAT FOR RENT NEAR ERANHIPALAM,1778923581,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Eranhipalam,3 BHK FURNISHED FLAT FOR RENT NEAR ERANHIPALAM","{'amount': '26', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/tr45v29pns132-IN/image;s=850x0,BRANDED FLAT FOR RENT & SALE AVAILABLE IN KOZHIKODE,,"Eranhipalam, Kozhikode, Kerala",Apartments,,
Bachelor accommodation at convenient location in Kozhikode,1718905218,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Thiruthiyad,Bachelor accommodation at convenient location in Kozhikode","{'amount': '5', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/e27ln6jooiv71-IN/image;s=850x0,"Accommodation suitable for office staff and students near RP MALL, Kozhikode",,"Thiruthiyad, Kozhikode, Kerala",Apartments,,
100000 lakh lease,1764562008,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Panniyankara,100000 lakh lease","{'amount': '10', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/6s2uivi91f9n2-IN/image;s=850x0,"First Flore, 3 bedroom,",,"Panniyankara, Kozhikode, Kerala",Apartments,,
2BHK HOUSE SEMI FURNISHED,1783184685,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Arayedathupalam,2BHK HOUSE SEMI FURNISHED","{'amount': '18', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/sxzpxt0pcryh-IN/image;s=850x0,"Arayidathupalam's house is an ideal choice for small families looking for a comfortable and well-equipped living space. This semi-furnished house boasts 2 bedrooms and is conveniently located near the junction of 2k.m. The upstairs area consists of two bedrooms, one attached bathroom, and one common bathroom, along with a dining area and a fully functional kitchen. The house also includes essential furniture such as a coat bed, wardrobe, sofa set, and dining table. With a monthly rent of 18500 and a security deposit of 3 months, it offers great value for money. While the preference is for small families, bachelors are also welcome to rent the house with a maximum occupancy of 3 people. For further details, please do not hesitate to contact us at Happy clients Realtors. We strive to provide satisfactory and transparent services to our clients.",,"Arayedathupalam, Kozhikode, Kerala",Apartments,,
House for rent @ mankavu,1760466302,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Mankavu,House for rent @ mankavu","{'amount': '20', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/bsnh8x7lw9p22-IN/image;s=850x0,Compound wall well water new house for rent,,"Mankavu, Kozhikode, Kerala",Apartments,,
Methotathazham bypass Bachelors Allowed NR HILITE mall,1782239003,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Thondayad,Methotathazham bypass Bachelors Allowed NR HILITE mall","{'amount': '17', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/m62kadrs2q7y-IN/image;s=850x0,A place where clean well water is available,,"Thondayad, Kozhikode, Kerala",Apartments,,
Lodge or Hotel or Hostel building (New) for rent -,1783194649,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Puthiyapalam,Lodge or Hotel or Hostel building (New) for rent -","{'amount': '1', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/ezctczmn2kag3-IN/image;s=850x0,This is new building with first and second floor with total of 12 rooms with bath attached.  ,,"Puthiyapalam, Kozhikode, Kerala",Apartments,,
Flat for rent @ ashoka Puram,1760469764,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Ashokapuram,Flat for rent @ ashoka Puram","{'amount': '22', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/kd6590u1fy5p-IN/image;s=850x0,Good looking flat center of Calicut city,,"Ashokapuram, Kozhikode, Kerala",Apartments,,
House for rent @ kallai,1760468733,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Kallai,House for rent @ kallai","{'amount': '15', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/a728n77t7jxt1-IN/image;s=850x0,Compound wall well water near by main road,,"Kallai, Kozhikode, Kerala",Apartments,,
House for rent @ Palazhi,1760514523,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Poovangal,House for rent @ Palazhi","{'amount': '15', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/54r20oegbja23-IN/image;s=850x0,Compound wall well water near by bypass,,"Poovangal, Kozhikode, Kerala",Apartments,,
Furnished apartment at Malaparamba.,1781909778,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Malaparamba,Furnished apartment at Malaparamba.","{'amount': '25', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/yibxplari6hv3-IN/image;s=850x0,"Hey there! Check out this fully furnished apartment in Malaparambu with AC in two rooms, a washing machine, a dining table, and a sofa set on the fifth floor. The rent is 25K. For more information, please contact Happy Clients Realtors. Happy apartment hunting!",,"Malaparamba, Kozhikode, Kerala",Apartments,,
2 BHK FURNISHED FLAT FOR RENT NEAR LULU MALL,1771447529,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Mankavu,2 BHK FURNISHED FLAT FOR RENT NEAR LULU MALL","{'amount': '24', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/bpyjfsvksfzk3-IN/image;s=850x0,Branded flat for rent & sale available in Calicut,,"Mankavu, Kozhikode, Kerala",Apartments,,
House for rent for (small family),1784492894,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Meenchanda,House for rent for (small family)","{'amount': '8', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/yhqrhhyl027p3-IN/image;s=850x0,House for rent for (small family),,"Meenchanda, Kozhikode, Kerala",Apartments,,
House for rent for bachelor's karuvissery  3 bhk,1783114332,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Karaparamba,House for rent for bachelor's karuvissery  3 bhk","{'amount': '16', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/37pdb5vt1lix1-IN/image;s=850x0,House for rent karuvissery  3 bhk  well water ,,"Karaparamba, Kozhikode, Kerala",Apartments,,
2bhk apartment for rent@ ashokapuram,1766602699,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Ashokapuram,2bhk apartment for rent@ ashokapuram","{'amount': '20', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/9d0izt8rs5q32-IN/image;s=850x0,2bhk apartment for rent@ ashokapuram for bachelors,,"Ashokapuram, Kozhikode, Kerala",Apartments,,
Room share,1782400129,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Tali,Room share","{'amount': '3', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/1zolv639zg062-IN/image;s=850x0,"Room share , 2 persan in one room ,  room rent 3500 , Jail road,",,"Tali, Kozhikode, Kerala",Apartments,,
2BHK independent house near CH colony 12 K,1784495050,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Chevarambalam,2BHK independent house near CH colony 12 K","{'amount': '12', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/jxkaj8dzfbmt1-IN/image;s=850x0,Pipe water ,,"Chevarambalam, Kozhikode, Kerala",Apartments,,
Thondayad junction -3BHK,1784494360,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Thondayad,Thondayad junction -3BHK","{'amount': '22', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/gthtzp3inm403-IN/image;s=850x0,This is a 3 BHK semi-furnished apartment in Thondayad junction. The apartment is on the 3rd floor of a 10-floor building. The apartment is having swimming pool gymnasium security CCTV camera lift etc. It has one attached bathroom and one common bathroom. The monthly rental is 22000.,,"Thondayad, Kozhikode, Kerala",Apartments,,
"3BHK Fully Furnished Flat For Rent at Nadakkavu, Calicut (sr)",1782562010,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Nadakkavu,3BHK Fully Furnished Flat For Rent at Nadakkavu, Calicut (sr)","{'amount': '33', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/6e7ra7aqd4np-IN/image;s=850x0,Are you looking for a Flat ?,,"Nadakkavu, Kozhikode, Kerala",Apartments,,
"2 BHK Furnished Apartment for Rent in Karaparamba, Kozhikode.",1784077476,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Karaparamba,2 BHK Furnished Apartment for Rent in Karaparamba, Kozhikode.","{'amount': '30', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/nmyuur5xmfne-IN/image;s=850x0,"Furnished 2 BHK Apartment for Rent in Karaparamba, Kozhikode",,"Karaparamba, Kozhikode, Kerala",Apartments,,
Luxury studio flat for rent near hilite business park,1745383227,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Thondayad,Luxury studio flat for rent near hilite business park","{'amount': '18', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/uadby4wxa7fr2-IN/image;s=850x0,Luxury studio flat for rent near hilite mall and cyberpark calicut,,"Thondayad, Kozhikode, Kerala",Apartments,,
,https://www.olx.in/mavoor-road_g1000000000003029/for-rent-houses-apartments_c1723,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode","{'amount': '4', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/8pny67658my12-IN/image;s=272x0,,,,Apartments,,
,https://www.olx.in/chevayur_g1000000000001417/for-rent-houses-apartments_c1723,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode","{'amount': '4', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/8pny67658my12-IN/image;s=272x0,,,,Apartments,,
,https://www.olx.in/kovoor_g5316957/for-rent-houses-apartments_c1723,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode","{'amount': '4', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/8pny67658my12-IN/image;s=272x0,,,,Apartments,,
,https://www.olx.in/vellimadukunnu_g5317010/for-rent-houses-apartments_c1723,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode","{'amount': '4', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/8pny67658my12-IN/image;s=272x0,,,,Apartments,,
,https://www.olx.in/eranjipalam_g5368857/for-rent-houses-apartments_c1723,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode","{'amount': '30', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/nmyuur5xmfne-IN/image;s=272x0,,,,Apartments,,
,https://www.olx.in/chevarambalam_g1000000000001421/for-rent-houses-apartments_c1723,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode","{'amount': '4', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/8pny67658my12-IN/image;s=272x0,,,,Apartments,,
,https://www.olx.in/kottuli_g1000000000001415/for-rent-houses-apartments_c1723,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode","{'amount': '4', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/8pny67658my12-IN/image;s=272x0,,,,Apartments,,
,https://www.olx.in/nadakkavu_g5316977/for-rent-houses-apartments_c1723,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode","{'amount': '30', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/nmyuur5xmfne-IN/image;s=272x0,,,,Apartments,,
,https://www.olx.in/chevayoor_g5316926/for-rent-houses-apartments_c1723,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode","{'amount': '4', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/8pny67658my12-IN/image;s=272x0,,,,Apartments,,
,https://www.olx.in/govindapuram_g5316932/for-rent-houses-apartments_c1723,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode","{'amount': '4', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/8pny67658my12-IN/image;s=272x0,,,,Apartments,,
,https://www.olx.in/malaparamba_g5316964/for-rent-houses-apartments_c1723,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode","{'amount': '30', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/nmyuur5xmfne-IN/image;s=272x0,,,,Apartments,,
,https://www.olx.in/pottammal_g5316989/for-rent-houses-apartments_c1723,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode","{'amount': '4', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/8pny67658my12-IN/image;s=272x0,,,,Apartments,,
,https://www.olx.in/mankavu_g5316966/for-rent-houses-apartments_c1723,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode","{'amount': '4', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/8pny67658my12-IN/image;s=272x0,,,,Apartments,,
,https://www.olx.in/calicut-medical-college_g1000000000001418/for-rent-houses-apartments_c1723,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode","{'amount': '4', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/8pny67658my12-IN/image;s=272x0,,,,Apartments,,
,https://www.olx.in/kozhikode_g4058877/pg-guest-houses_c1449,"Home,Properties,PG & Guest Houses,PG & Guest Houses in Kerala","{'amount': '8', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/ka3ig0t6a98k3-IN/image;s=272x0,,,,Apartments,,
,https://www.olx.in/karaparamba_g5316950/for-rent-houses-apartments_c1723,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode","{'amount': '30', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/nmyuur5xmfne-IN/image;s=272x0,,,,Apartments,,
,https://www.olx.in/thondayad_g5317002/for-rent-houses-apartments_c1723,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode","{'amount': '4', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/8pny67658my12-IN/image;s=272x0,,,,Apartments,,
,https://www.olx.in/kozhikode_g4058877/for-sale-shops-offices_c1733,"Home,Properties,For Sale: Shops & Offices,For Sale: Shops & Offices in Kerala","{'amount': '35', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/px54eagnc0fz1-IN/image;s=272x0,,,,Apartments,,
,https://www.olx.in/kozhikode_g4058877/lands-plots_c1729,"Home,Properties,Lands & Plots,Lands & Plots in Kerala","{'amount': '18', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/sfilu3y2t3bg1-IN/image;s=272x0,,,,Apartments,,
